,Contaminante,Fecha,aqip_median,cdmx_median
4157,O3,2019-12-26,18.144,25.65217391304348
4158,O3,2020-01-05,18.144,27.79166666666667
4159,O3,2020-01-05,18.144,27.79166666666667
4160,O3,2019-10-08,19.872,19.916666666666668
4161,O3,2019-11-27,19.872,28.166666666666664
4162,PM25,2019-11-01,17.80612244897959,22.23913043478261
4163,PM25,2019-11-24,25.88979591836735,29.85416666666667
4164,PM25,2019-12-21,30.16938775510204,33.333333333333336
4165,PM25,2019-11-25,25.88979591836735,25.541666666666664
4166,PM25,2019-11-28,17.80612244897959,23.14962121212121
4167,PM25,2019-12-13,17.80612244897959,19.782608695652176
4168,PM25,2019-12-27,29.218367346938773,29.875
4169,PM25,2019-12-31,14.00204081632653,19.181818181818183
4170,PM25,2019-12-31,14.00204081632653,19.181818181818183
4171,PM25,2019-12-02,22.085714285714282,23.020833333333336
4172,PM25,2019-12-18,32.07142857142857,36.833333333333336
4173,PM25,2019-10-17,7.2,8.152173913043477
4174,PM25,2019-11-05,17.80612244897959,18.83333333333333
4175,PM25,2019-11-06,14.00204081632653,14.0
4176,PM25,2019-11-07,13.051020408163266,16.333333333333332
4177,PM25,2019-11-26,23.98775510204081,22.895833333333336
4178,PM25,2019-11-27,25.88979591836735,26.377717391304344
4179,PM25,2020-01-02,5.52,5.1
4180,PM25,2020-01-02,5.52,5.1
4181,PM25,2019-10-18,8.16,7.3
4182,PM25,2019-10-25,22.085714285714282,23.354166666666664
4183,PM25,2019-11-19,24.938775510204078,26.75
4184,PM25,2019-12-16,18.757142857142856,20.125
4185,PM25,2020-01-01,8.16,29.08333333333333
4186,PM25,2020-01-01,8.16,29.08333333333333
4187,PM25,2019-12-23,34.92448979591836,32.833333333333336
4188,PM25,2020-01-05,20.183673469387763,22.33333333333333
4189,PM25,2020-01-05,20.183673469387763,22.33333333333333
4190,PM25,2019-12-07,21.13469387755102,23.95833333333333
4191,PM25,2019-12-09,23.98775510204081,28.020833333333336
4192,PM25,2019-10-09,8.16,8.982142857142858
4193,PM25,2019-10-11,14.00204081632653,15.583333333333332
4194,PM25,2019-10-14,13.051020408163266,16.541666666666664
4195,PM25,2019-10-15,15.90408163265306,20.208333333333336
4196,PM25,2019-12-19,33.9734693877551,38.708333333333336
4197,PM25,2020-01-04,25.88979591836735,28.479166666666664
4198,PM25,2020-01-04,25.88979591836735,28.479166666666664
4199,PM25,2019-10-24,14.00204081632653,16.041666666666664
4200,PM25,2019-11-02,18.757142857142856,22.63888888888889
4201,PM25,2019-11-23,23.03673469387755,23.27083333333333
4202,PM25,2019-12-26,22.085714285714282,25.04166666666667
4203,PM25,2019-12-28,24.938775510204078,19.3030303030303
4204,PM25,2019-10-13,16.855102040816327,17.84057971014493
4205,PM25,2019-10-22,14.953061224489794,13.791666666666664
4206,PM25,2019-11-08,12.0,11.434782608695652
4207,PM25,2019-11-10,14.00204081632653,17.625
4208,PM25,2019-10-16,13.051020408163266,10.782608695652176
4209,PM25,2019-11-15,16.855102040816327,18.25
4210,PM25,2019-12-08,28.26734693877551,30.78351449275362
4211,PM25,2019-12-10,24.938775510204078,24.645833333333336
4212,PM25,2019-12-14,22.085714285714282,24.25
4213,PM25,2019-12-25,26.84081632653061,38.91304347826087
4214,PM25,2019-12-17,23.03673469387755,24.29166666666667
4215,PM25,2019-10-23,12.1,13.62590579710145
4216,PM25,2019-10-28,30.16938775510204,31.958333333333336
4217,PM25,2019-10-30,23.03673469387755,25.09280303030303
4218,PM25,2019-11-04,21.13469387755102,23.608695652173914
4219,PM25,2019-11-22,23.03673469387755,25.54166666666667
4220,PM25,2019-12-06,14.953061224489794,19.181818181818183
4221,PM25,2019-11-21,28.26734693877551,29.20833333333333
4222,PM25,2019-12-20,35.906122448979595,40.39583333333333
4223,PM25,2019-10-12,10.08,11.395833333333336
4224,PM25,2019-10-19,8.16,9.5
4225,PM25,2019-10-20,5.04,5.552696078431373
4226,PM25,2019-10-26,14.953061224489794,17.714114832535888
4227,PM25,2019-11-12,14.00204081632653,13.6875
4228,PM25,2019-11-18,14.00204081632653,14.565217391304348
4229,PM25,2019-12-05,23.03673469387755,25.6875
4230,PM25,2019-12-11,30.16938775510204,32.458333333333336
4231,PM25,2019-10-21,6.24,9.055555555555557
4232,PM25,2019-11-09,7.2,7.608695652173912
4233,PM25,2019-11-16,26.84081632653061,28.5625
4234,PM25,2019-11-20,23.03673469387755,27.0
4235,PM25,2019-12-12,24.938775510204078,25.47826086956522
4236,PM25,2020-01-03,7.2,10.5
4237,PM25,2020-01-03,7.2,10.5
4238,PM25,2019-12-30,9.12,11.575757575757578
4239,PM25,2019-12-30,9.12,11.575757575757578
4240,PM25,2019-10-07,9.12,8.642391304347825
4241,PM25,2019-10-27,23.98775510204081,25.0
4242,PM25,2019-10-29,18.757142857142856,20.041666666666668
4243,PM25,2019-11-03,10.32,14.644736842105262
4244,PM25,2019-11-29,22.085714285714282,26.95833333333333
4245,PM25,2019-12-24,17.80612244897959,21.318181818181817
4246,PM25,2019-11-14,9.12,10.130434782608695
4247,PM25,2019-11-30,23.98775510204081,25.29710144927536
4248,PM25,2019-10-08,7.2,6.980237154150197
4249,PM25,2019-10-10,14.00204081632653,16.05
4250,PM25,2019-10-31,12.1,13.184210526315795
4251,PM25,2019-11-11,16.855102040816327,18.541666666666668
4252,PM25,2019-11-13,7.2,9.71286231884058
4253,PM25,2019-12-01,16.855102040816327,19.40909090909091
4254,PM25,2019-12-03,20.183673469387763,20.791666666666668
4255,PM25,2019-12-15,26.84081632653061,27.91666666666667
4256,PM25,2019-11-17,18.757142857142856,17.875
4257,PM25,2019-12-04,20.183673469387763,21.416666666666668
4258,PM25,2019-12-22,31.120408163265303,33.10416666666667
4259,CO,2019-12-17,0.7832000000000001,0.4708333333333333
4260,CO,2019-10-14,0.4928,0.3708333333333333
4261,CO,2019-11-11,0.6248,0.5041666666666665
4262,CO,2019-11-19,0.6952000000000002,0.5395833333333333
4263,CO,2019-12-12,0.7832000000000001,0.5458333333333336
4264,CO,2019-12-18,0.7832000000000001,0.4208333333333333
4265,CO,2019-12-19,0.9856,0.5895833333333333
4266,CO,2019-10-20,0.4928,0.2395833333333333
4267,CO,2019-10-21,0.5896000000000001,0.4541666666666668
4268,CO,2019-10-27,0.6864,0.4125
4269,CO,2019-11-16,0.6864,0.4229166666666666
4270,CO,2019-10-17,0.6864,0.4041666666666667
4271,CO,2019-11-08,0.4928,0.225
4272,CO,2019-12-04,0.7656000000000001,0.6
4273,CO,2019-12-26,0.7832000000000001,0.6341485507246377
4274,CO,2019-10-29,0.6864,0.3562499999999999
4275,CO,2019-11-09,0.4928,0.2047619047619048
4276,CO,2019-12-11,0.7392000000000002,0.3458333333333334
4277,CO,2019-10-18,0.6864,0.4500000000000001
4278,CO,2019-10-19,0.5896000000000001,0.4208333333333335
4279,CO,2019-10-30,0.6864,0.4916666666666667
4280,CO,2019-11-02,0.5896000000000001,0.3291666666666666
4281,CO,2019-10-07,0.396,0.21666666666666667
4282,CO,2019-10-08,0.396,0.2125
4283,CO,2019-10-09,0.4928,0.26666666666666666
4284,CO,2020-01-02,0.4928,0.16904761904761909
4285,CO,2020-01-02,0.4928,0.16904761904761909
4286,CO,2019-11-27,0.6864,0.5285714285714287
4287,CO,2019-12-08,0.8096,0.5416666666666666
4288,CO,2019-12-10,0.8272000000000002,0.5833333333333333
4289,CO,2019-10-22,0.4928,0.2857142857142857
4290,CO,2019-11-20,0.7040000000000001,0.4666666666666667
4291,CO,2019-11-22,0.7392000000000002,0.5941176470588235
4292,CO,2019-11-23,0.6864,0.4291666666666665
4293,CO,2019-12-22,0.6864,0.4833333333333333
4294,CO,2019-12-24,0.7832000000000001,0.6250000000000001
4295,CO,2019-10-11,0.5192000000000001,0.3541666666666666
4296,CO,2019-11-18,0.5896000000000001,0.3125
4297,CO,2019-11-21,0.7392000000000002,0.6047619047619046
4298,CO,2019-12-09,0.88,0.7380952380952381
4299,CO,2019-11-24,0.6776000000000001,0.34791666666666665
4300,CO,2019-11-29,0.7392000000000002,0.6416666666666666
4301,CO,2019-12-02,0.6160000000000001,0.4083333333333333
4302,CO,2019-12-31,0.7832000000000001,0.5854166666666667
4303,CO,2019-12-31,0.7832000000000001,0.5854166666666667
4304,CO,2019-10-12,0.396,0.17500000000000007
4305,CO,2019-10-16,0.4928,0.27222222222222225
4306,CO,2019-11-13,0.5367999999999999,0.375
4307,CO,2019-11-17,0.5896000000000001,0.31875
4308,CO,2019-11-15,0.5896000000000001,0.3416666666666667
4309,CO,2019-11-25,0.7392000000000002,0.5750000000000001
4310,CO,2019-12-13,0.792,0.6608695652173912
4311,CO,2019-12-21,0.88,0.5380952380952384
4312,CO,2020-01-04,0.7832000000000001,0.31875
4313,CO,2020-01-04,0.7832000000000001,0.31875
4314,CO,2019-11-12,0.4928,0.27391304347826084
4315,CO,2019-12-05,0.7832000000000001,0.6541666666666666
4316,CO,2019-12-06,0.6864,0.5104166666666665
4317,CO,2019-12-16,0.7832000000000001,0.5750000000000001
4318,CO,2019-10-23,0.4928,0.26041666666666663
4319,CO,2019-10-26,0.5896000000000001,0.4124999999999999
4320,CO,2019-11-01,0.5896000000000001,0.325
4321,CO,2019-11-05,0.6248,0.5238095238095237
4322,CO,2020-01-03,0.5896000000000001,0.29999999999999993
4323,CO,2020-01-03,0.5896000000000001,0.29999999999999993
4324,CO,2020-01-05,0.7832000000000001,0.40625
4325,CO,2020-01-05,0.7832000000000001,0.40625
4326,CO,2019-11-04,0.6864,0.559375
4327,CO,2019-11-26,0.6864,0.4458333333333333
4328,CO,2019-12-14,0.88,0.6729166666666667
4329,CO,2019-12-25,0.8184000000000001,0.6333333333333332
4330,CO,2019-11-03,0.4928,0.2452380952380952
4331,CO,2019-12-28,0.88,0.4999999999999998
4332,CO,2019-12-30,0.6864,0.4874999999999998
4333,CO,2019-12-30,0.6864,0.4874999999999998
4334,CO,2019-10-24,0.5896000000000001,0.4041666666666667
4335,CO,2019-11-14,0.5896000000000001,0.4125
4336,CO,2019-12-01,0.5896000000000001,0.3958333333333332
4337,CO,2019-12-23,0.9592000000000002,0.7166666666666668
4338,CO,2019-12-03,0.6864,0.5666666666666667
4339,CO,2019-12-20,1.0824,0.5208333333333335
4340,CO,2020-01-01,0.4928,0.4086956521739129
4341,CO,2020-01-01,0.4928,0.4086956521739129
4342,CO,2019-11-07,0.5544,0.3142857142857143
4343,CO,2019-11-30,0.7832000000000001,0.6791666666666666
4344,CO,2019-10-13,0.4928,0.2625
4345,CO,2019-10-28,0.8624,0.5833333333333335
4346,CO,2019-10-31,0.5896000000000001,0.30000000000000004
4347,CO,2019-11-06,0.5016,0.34166666666666673
4348,CO,2019-11-28,0.6864,0.575
4349,CO,2019-12-07,0.6864,0.3916666666666666
4350,CO,2019-12-15,0.8536,0.5642857142857142
4351,CO,2019-12-27,0.88,0.5738095238095238
4352,CO,2019-10-10,0.5720000000000001,0.3285714285714286
4353,CO,2019-10-15,0.5896000000000001,0.4124999999999999
4354,CO,2019-10-25,0.6864,0.4666666666666666
4355,CO,2019-11-10,0.5896000000000001,0.3875
4356,PM10,2019-10-19,20.52,22.6286231884058
4357,PM10,2019-11-17,34.56,33.5
4358,PM10,2019-12-08,51.84,54.22916666666667
4359,PM10,2019-12-31,35.64,35.91304347826087
4360,PM10,2019-12-31,35.64,35.91304347826087
4361,PM10,2019-10-26,22.68,25.65909090909091
4362,PM10,2019-11-14,23.76,26.375
4363,PM10,2019-11-28,50.76,52.6304347826087
4364,PM10,2019-12-25,45.36,52.58333333333334
4365,PM10,2019-11-20,48.6,53.4375
4366,PM10,2019-11-24,43.2,49.20833333333334
4367,PM10,2019-11-29,46.44,57.85037878787878
4368,PM10,2019-10-17,10.8,11.545454545454545
4369,PM10,2019-11-01,32.4,34.854166666666664
4370,PM10,2019-11-02,29.16,33.80882352941177
4371,PM10,2019-11-07,31.32,34.291666666666664
4372,PM10,2019-11-10,28.08,34.26086956521739
4373,PM10,2019-12-18,59.04081632653061,68.91666666666667
4374,PM10,2019-10-12,19.44,19.20833333333333
4375,PM10,2019-11-21,51.84,55.25
4376,PM10,2020-01-05,38.88,37.04166666666666
4377,PM10,2020-01-05,38.88,37.04166666666666
4378,PM10,2019-10-09,18.36,19.875
4379,PM10,2019-11-04,33.48,35.47916666666667
4380,PM10,2019-11-11,36.72,41.375
4381,PM10,2019-12-16,45.36,49.33333333333334
4382,PM10,2019-12-06,50.76,51.33333333333334
4383,PM10,2019-12-21,65.10204081632654,65.45833333333333
4384,PM10,2019-12-28,44.28,34.208333333333336
4385,PM10,2019-10-07,21.6,20.956521739130434
4386,PM10,2019-11-09,19.44,20.666666666666668
4387,PM10,2019-11-18,30.24,28.16666666666667
4388,PM10,2019-11-19,43.2,41.0
4389,PM10,2019-12-04,48.6,52.45833333333333
4390,PM10,2020-01-04,54.0,51.26086956521739
4391,PM10,2020-01-04,54.0,51.26086956521739
4392,PM10,2019-11-16,43.2,45.54166666666666
4393,PM10,2019-12-30,32.4,26.35294117647059
4394,PM10,2019-12-30,32.4,26.35294117647059
4395,PM10,2019-10-11,27.0,25.95833333333333
4396,PM10,2019-10-13,25.92,25.83333333333333
4397,PM10,2019-10-18,20.52,19.016666666666666
