,city,state,estacionesid,_id,lat,long,nombre,codigo,redesid
120,Purísima del Rincón,Guanajuato,423,5cccf5bee2705c1932820630,21.040238888889,-101.87628333333001,Purísima del Rincón,PUR,149
121,Monterrey,Nuevo León,424,5cccf5bee2705c1932820631,25.600555555556003,-99.994166666667,Cadereyta,SE3,72
122,Monterrey,Nuevo León,425,5cccf5bee2705c1932820632,25.73,-100.30972222222,Universidad,N2,72
123,Monterrey,Nuevo León,426,5cccf5bee2705c1932820633,25.575277777778002,-100.24916666666999,Pueblo Serena,SUR,72
124,San Luis Potosí Estatal,San Luis Potosí,427,5cccf5bee2705c1932820634,22.159444444444,-100.95333333333001,Escuela Primaria 1° de mayo,PRIM,79
125,Ciudad Juárez 2,Chihuahua - UACJ,428,5cccf5bee2705c1932820635,31.743333333333002,-106.43166666667,Instituto de Ingeniería y Tecnología,IIT,150
126,Tijuana,Baja California,46,5cccf5bee2705c1932820589,32.529461111111004,-116.92128055556002,Laboratorio,SPABC21,35
127,Tijuana,Baja California,47,5cccf5bee2705c193282058a,32.4975,-116.97694444443998,La Mesa,SPABC03,35
128,Chihuahua,Chihuahua -Estatal,53,5cccf5bee2705c193282058c,28.632775,-106.03886694444,SUR,SUR,38
129,Chihuahua,Chihuahua -Estatal,54,5cccf5bee2705c193282058d,28.652227777778002,-106.08535833333,Centro,CEN,38
130,Chihuahua,Chihuahua - Municipal,55,5cccf5bee2705c193282058e,28.716083333333,-106.13330555556,CIMAV,CIMAV,39
131,Torreón,Coahuila,56,5cccf5bee2705c193282058f,25.522694444444,-103.39580555556,CONALEP,CNP,40
132,Colima,Colima,57,5cccf5bee2705c1932820590,19.262127777778,-103.72403333333,Tecnologico,TEC,41
133,Durango,Durango,58,5cccf5bee2705c1932820591,24.034472222222,-104.64502777778,ITD,ITD,42
