date, pm25, pm10, o3, so2, co
2018/4/6, 21, 75, , , 2
2018/4/7, 22, 74, , , 2
2018/4/8, 17, 33, , , 2
2018/4/9, 7, 62, , , 2
2018/4/10, 21, 24, , , 2
2018/4/11, 10, 28, , , 2
2018/4/12, 8, 63, , , 2
2018/4/13, 17, 76, , , 2
2018/4/14, 19, 124, , , 2
2018/4/15, 19, 52, , , 2
2018/4/16, 9, 68, , , 2
2018/4/17, 13, 76, , , 2
2018/4/18, 15, 77, , , 2
2018/4/19, 19, 32, , , 2
2018/4/20, 10, 29, , , 2
2018/4/21, 9, 52, , , 2
2018/4/22, 16, 46, , , 2
2018/4/23, 15, 24, , , 2
2018/4/24, 11, 23, , , 2
2018/4/25, 11, 26, , , 2
2018/4/26, 7, 40, , , 2
2018/4/27, 9, 28, , , 2
2018/4/28, 12, 18, , , 2
2018/4/29, 5, 17, , , 2
2018/4/30, 6, 29, , , 2
2018/5/1, 12, 38, , , 2
2018/5/2, 16, 53, , , 2
2018/5/3, 23, 72, , , 2
2018/5/4, 33, 53, , , 2
2018/5/5, 20, 20, , , 2
2018/5/6, 8, 39, , , 2
2018/5/7, 13, 50, , , 2
2018/5/8, 13, 58, , , 2
2018/5/9, 14, 46, , , 2
2018/5/10, 11, 46, , , 2
2018/5/11, 12, 43, , , 2
2018/5/12, 12, 52, , , 2
2018/5/13, 20, 50, , , 2
2018/5/14, 23, 37, , , 2
2018/5/15, 15, 39, , , 2
2018/5/16, 12, 39, , , 2
2018/5/17, 13, 56, , , 2
2018/5/18, 17, 54, , , 2
2018/5/19, 14, 49, , , 2
2018/5/20, 16, 46, , , 2
2018/5/21, 24, 27, , , 2
2018/5/22, 9, 23, , , 2
2018/5/23, 13, 20, , , 2
2018/5/24, 10, 25, , , 2
2018/5/25, 8, 36, , , 2
2018/5/26, 12, 44, , , 2
2018/5/27, 15, 42, , , 2
2018/5/28, 13, 42, , , 2
2018/5/29, 11, 45, , , 2
2018/5/30, 13, 55, , , 2
2018/5/31, 16, 54, , , 2
2018/6/1, 18, 65, , , 2
2018/6/2, 22, 62, , , 2
2018/6/3, 17, 47, , , 2
2018/6/4, 15, 48, , , 2
2018/6/5, 10, 68, , , 2
2018/6/6, 16, 64, , , 1
2018/6/7, 19, 71, , , 
2018/1/5, 8, 52, , , 1
2018/1/6, 14, 74, , , 1
2018/1/7, 23, 93, , , 2
2018/1/8, 33, 69, , , 1
2018/1/9, 13, 49, , , 1
2018/1/10, 10, 82, , , 2
2018/1/11, 19, 105, , , 1
2018/1/12, 18, 59, , , 1
2018/1/13, 9, 44, , , 1
2018/1/14, 9, 45, , , 1
2018/1/15, 11, 57, , , 1
2018/1/16, 13, 40, , , 1
2018/1/17, 7, 31, , , 1
2018/1/18, 8, 68, , , 1
2018/1/19, 32, 109, , , 2
2018/1/20, 40, 97, , , 2
2018/1/21, 32, 89, , , 2
2018/1/22, 27, 55, , , 1
2018/1/23, 9, 58, , , 1
2018/1/24, 11, 45, , , 1
2018/1/25, 7, 36, , , 1
2018/1/26, 10, 116, , , 2
2018/1/27, 41, , , , 
2018/2/7, 28, 67, , , 2
2018/2/8, 25, 43, , , 1
2018/2/9, 12, 73, , , 2
2018/2/10, 24, 81, , , 2
2018/2/11, 22, 52, , , 2
2018/2/12, 12, 72, , , 1
2018/2/13, 6, 69, , , 2
2018/2/14, 28, 78, , , 1
2018/2/15, 31, 103, , , 1
2018/2/16, 30, 150, , , 2
2018/2/17, 8, 69, , , 2
2018/2/18, 21, 49, , , 1
2018/2/19, 13, 58, , , 2
2018/2/20, 15, 69, , , 2
2018/2/21, 19, 69, , , 2
2018/2/22, 21, 24, , , 2
2018/2/23, 6, 74, , , 2
2018/2/24, 31, 81, , , 2
2018/2/25, 28, 49, , , 2
2018/2/26, 19, 37, , , 2
2018/2/27, 18, 52, , , 2
2018/2/28, 27, 89, , , 2
2018/3/1, 25, 83, , , 2
2018/3/2, 13, 47, , , 2
2018/3/3, 8, 48, , , 2
2018/3/4, 11, 64, , , 2
2018/3/5, 26, 71, , , 2
2018/3/6, 23, 48, , , 2
2018/3/7, 7, 52, , , 2
2018/3/8, 7, 45, , , 2
2018/3/9, 6, 42, , , 2
2018/3/10, 11, 74, , , 2
2018/3/11, 17, 75, , , 2
2018/3/12, 16, 33, , , 2
2018/3/13, 6, 44, , , 2
2018/3/14, 9, 22, , , 2
2018/3/15, 6, 37, , , 2
2018/3/16, 12, 54, , , 2
2018/3/17, 12, 53, , , 2
2018/3/18, 12, 70, , , 2
2018/3/19, 14, 65, , , 2
2018/3/20, 13, 66, , , 2
2018/3/21, 11, 55, , , 2
2018/3/22, 8, 44, , , 2
2018/3/23, 8, 50, , , 2
2018/3/24, 10, 76, , , 2
2018/3/25, 19, 77, , , 2
2018/3/26, 20, 74, , , 2
2018/3/27, 19, 71, , , 2
2018/3/28, 26, 73, , , 2
2018/3/29, 23, 44, , , 2
2018/3/30, 12, 53, , , 2
2018/3/31, 15, 51, , , 2
