_id,date,validoorig,city,state,valororig,parametro,estacionesid,id,hora,fecha
5ccceac8e2705c19323446a6,2018-01-05T20:00:00.000Z,1,Guadalajara,Jalisco,74.035,PM10,101,101PM1018010520,20,2018-01-05
5ccceac8e2705c19323446a7,2018-01-05T21:00:00.000Z,1,Guadalajara,Jalisco,78.816,PM10,101,101PM1018010521,21,2018-01-05
5ccceac8e2705c19323446a8,2018-01-05T22:00:00.000Z,1,Guadalajara,Jalisco,58.731,PM10,101,101PM1018010522,22,2018-01-05
5ccceac8e2705c19323446a9,2018-01-05T23:00:00.000Z,1,Guadalajara,Jalisco,36.987,PM10,101,101PM1018010523,23,2018-01-05
5ccceac8e2705c19323446aa,2018-01-06T00:00:00.000Z,1,Guadalajara,Jalisco,24.037,PM10,101,101PM1018010600,0,2018-01-06
5ccceac8e2705c19323446ab,2018-01-06T01:00:00.000Z,1,Guadalajara,Jalisco,15.138,PM10,101,101PM1018010601,1,2018-01-06
5ccceac8e2705c19323446ac,2018-01-06T02:00:00.000Z,1,Guadalajara,Jalisco,19.829,PM10,101,101PM1018010602,2,2018-01-06
5ccceac8e2705c19323446ad,2018-01-06T03:00:00.000Z,1,Guadalajara,Jalisco,22.902,PM10,101,101PM1018010603,3,2018-01-06
5ccceac8e2705c19323446ae,2018-01-06T04:00:00.000Z,1,Guadalajara,Jalisco,24.34,PM10,101,101PM1018010604,4,2018-01-06
5ccceac8e2705c19323446af,2018-01-06T05:00:00.000Z,1,Guadalajara,Jalisco,18.768,PM10,101,101PM1018010605,5,2018-01-06
5ccceac8e2705c19323446b1,2018-01-06T06:00:00.000Z,1,Guadalajara,Jalisco,28.064,PM10,101,101PM1018010606,6,2018-01-06
5ccceac8e2705c19323446b2,2018-01-06T07:00:00.000Z,1,Guadalajara,Jalisco,37.367,PM10,101,101PM1018010607,7,2018-01-06
5ccceac8e2705c19323446b3,2018-01-06T08:00:00.000Z,1,Guadalajara,Jalisco,29.89,PM10,101,101PM1018010608,8,2018-01-06
5ccceac8e2705c19323446b4,2018-01-06T09:00:00.000Z,1,Guadalajara,Jalisco,49.666,PM10,101,101PM1018010609,9,2018-01-06
5ccceac8e2705c19323446b5,2018-01-06T10:00:00.000Z,1,Guadalajara,Jalisco,78.434,PM10,101,101PM1018010610,10,2018-01-06
5ccceac8e2705c19323446b6,2018-01-06T11:00:00.000Z,1,Guadalajara,Jalisco,70.894,PM10,101,101PM1018010611,11,2018-01-06
5ccceac8e2705c19323446b7,2018-01-06T12:00:00.000Z,1,Guadalajara,Jalisco,41.356,PM10,101,101PM1018010612,12,2018-01-06
5ccceac8e2705c19323446b8,2018-01-06T13:00:00.000Z,1,Guadalajara,Jalisco,16.774,PM10,101,101PM1018010613,13,2018-01-06
5ccceac8e2705c19323446b9,2018-01-06T14:00:00.000Z,1,Guadalajara,Jalisco,14.364,PM10,101,101PM1018010614,14,2018-01-06
5ccceac8e2705c19323446ba,2018-01-06T15:00:00.000Z,1,Guadalajara,Jalisco,12.027,PM10,101,101PM1018010615,15,2018-01-06
5ccceac8e2705c19323446bb,2018-01-06T16:00:00.000Z,1,Guadalajara,Jalisco,21.207,PM10,101,101PM1018010616,16,2018-01-06
5ccceac8e2705c19323446bc,2018-01-06T17:00:00.000Z,1,Guadalajara,Jalisco,27.627,PM10,101,101PM1018010617,17,2018-01-06
5ccceac8e2705c19323446bd,2018-01-06T18:00:00.000Z,1,Guadalajara,Jalisco,33.413,PM10,101,101PM1018010618,18,2018-01-06
5ccceac8e2705c19323446be,2018-01-06T19:00:00.000Z,1,Guadalajara,Jalisco,65.805,PM10,101,101PM1018010619,19,2018-01-06
5ccceac8e2705c19323446bf,2018-01-06T20:00:00.000Z,1,Guadalajara,Jalisco,94.191,PM10,101,101PM1018010620,20,2018-01-06
5ccceac8e2705c19323446c0,2018-01-06T21:00:00.000Z,1,Guadalajara,Jalisco,98.343,PM10,101,101PM1018010621,21,2018-01-06
